Train Loss	Train Loss X	Train Loss U	Val Loss	Val Acc.	Test Loss	Test Acc.	Epoch Time	
0.261636	0.001442	0.260194	3.676489	56.100000	3.737541	56.370000	68.410859	
0.273412	0.002239	0.271174	3.694642	56.340000	3.749028	56.350000	68.411032	
0.261806	0.001495	0.260311	3.703278	56.160000	3.748925	56.420000	68.411187	
0.265508	0.001788	0.263720	3.698112	56.380000	3.748422	56.610000	68.411243	
0.264896	0.001577	0.263320	3.680948	56.220000	3.743332	56.500000	68.410799	
0.266017	0.001860	0.264157	3.711127	56.540000	3.777081	56.390000	68.410866	
0.268584	0.001893	0.266691	3.687748	56.100000	3.772402	56.490000	68.411130	
0.267387	0.001937	0.265450	3.689495	56.180000	3.793291	56.260000	68.411606	
0.261882	0.001606	0.260276	3.715563	55.840000	3.821478	56.360000	68.411265	
0.264423	0.001641	0.262783	3.720591	56.400000	3.823128	56.280000	68.411225	
0.265448	0.001695	0.263753	3.716699	56.300000	3.804727	56.690000	68.411220	
0.264771	0.001971	0.262800	3.746434	56.080000	3.807098	56.590000	68.411267	
0.262768	0.001729	0.261039	3.742298	56.000000	3.803967	56.700000	68.412517	
0.806961	0.008224	0.798736	1.716536	67.180000	1.767976	66.830000	68.300287	
0.657510	0.003643	0.653868	1.352034	72.060000	1.394016	71.720000	68.004439	
0.609756	0.002968	0.606787	1.178298	74.700000	1.217790	74.500000	68.105625	
0.580158	0.002560	0.577598	1.091714	76.640000	1.127169	76.170000	68.293099	
0.563495	0.002286	0.561208	1.048043	77.540000	1.080832	77.200000	68.336498	
0.547324	0.002304	0.545019	1.021531	77.880000	1.052601	77.870000	68.372286	
0.534062	0.002234	0.531828	1.020686	78.180000	1.047573	78.250000	68.398183	
0.521198	0.001956	0.519242	1.029664	78.420000	1.054013	78.490000	68.428916	
0.507572	0.002005	0.505567	1.026475	78.820000	1.050959	78.690000	68.449318	
0.502164	0.001972	0.500192	1.027080	78.660000	1.056342	78.850000	68.462780	
0.491933	0.001826	0.490106	1.025038	78.740000	1.056313	78.980000	68.474609	
0.484243	0.001822	0.482421	1.027031	78.960000	1.061926	79.030000	68.492308	
0.483963	0.001716	0.482247	1.031339	79.040000	1.067486	79.240000	68.501862	
0.475571	0.001572	0.473999	1.038152	78.960000	1.070991	79.170000	68.506586	
0.471541	0.001708	0.469833	1.043695	78.940000	1.070332	79.130000	68.518951	
0.464910	0.001556	0.463354	1.045027	79.060000	1.072326	79.010000	68.531932	
0.461876	0.001637	0.460239	1.052665	79.040000	1.082207	79.210000	68.538272	
0.458630	0.001674	0.456955	1.058754	79.020000	1.090969	79.210000	68.541994	
0.453594	0.001439	0.452155	1.062345	79.060000	1.100064	79.170000	68.546136	
0.449876	0.001315	0.448561	1.063801	78.880000	1.108826	79.200000	68.550714	
0.446846	0.001547	0.445300	1.059909	79.100000	1.108008	79.310000	68.555059	
0.444238	0.001401	0.442838	1.065480	79.160000	1.114270	79.360000	68.559034	
0.438073	0.001319	0.436754	1.066566	79.520000	1.112902	79.470000	68.562110	
0.439543	0.001487	0.438056	1.068437	79.540000	1.119402	79.480000	68.571144	
0.435400	0.001445	0.433955	1.075659	79.500000	1.132281	79.500000	68.575775	
0.435631	0.001394	0.434237	1.075779	79.360000	1.131100	79.580000	68.581064	
0.428689	0.001412	0.427276	1.086244	79.340000	1.142869	79.710000	68.585880	
0.427961	0.001348	0.426613	1.093410	79.020000	1.143574	79.550000	68.594158	
0.424904	0.001296	0.423607	1.094302	79.340000	1.143664	79.500000	68.607777	
0.424254	0.001245	0.423009	1.096536	79.380000	1.143429	79.630000	68.610244	
0.422177	0.001243	0.420934	1.089954	79.440000	1.138931	79.740000	68.607132	
0.422643	0.001253	0.421389	1.079284	79.540000	1.136463	79.650000	68.609726	
0.421264	0.001242	0.420022	1.080739	79.780000	1.132049	79.580000	68.612957	
0.421115	0.001315	0.419801	1.076783	79.660000	1.122652	79.680000	68.615108	
0.418125	0.001235	0.416891	1.093768	79.480000	1.134130	79.700000	68.615863	
0.414513	0.001229	0.413284	1.100937	79.540000	1.135923	79.680000	68.613699	
0.416541	0.001334	0.415207	1.103107	79.660000	1.138403	79.880000	68.619447	
0.411231	0.001198	0.410033	1.107854	79.440000	1.144587	79.930000	68.613824	
0.409975	0.001182	0.408793	1.110766	79.460000	1.148233	79.660000	68.619086	
0.411618	0.001261	0.410357	1.107889	79.400000	1.147756	79.720000	68.622848	
0.409121	0.001310	0.407810	1.109075	79.340000	1.147915	79.720000	68.622600	
0.409653	0.001176	0.408477	1.113745	79.360000	1.150845	79.630000	68.619688	
0.406940	0.001146	0.405794	1.112334	79.400000	1.140997	79.690000	68.622260	
0.405590	0.001234	0.404356	1.110721	79.380000	1.138594	79.740000	68.625425	
0.402667	0.001109	0.401558	1.117813	79.440000	1.147470	79.670000	68.629327	
0.405803	0.001256	0.404547	1.118295	79.420000	1.148557	79.650000	68.632568	
0.402156	0.001497	0.400659	1.122615	79.340000	1.151166	79.700000	68.632402	
0.401719	0.001138	0.400581	1.126101	79.320000	1.154282	79.520000	68.632415	
0.396756	0.001055	0.395700	1.133100	79.740000	1.161440	79.670000	68.640587	
0.400970	0.001208	0.399762	1.135783	79.720000	1.162557	79.670000	68.651751	
0.399550	0.001097	0.398452	1.139044	79.900000	1.167674	79.600000	68.658096	
0.398333	0.001159	0.397174	1.139727	79.700000	1.171880	79.490000	68.662831	
0.397095	0.001149	0.395947	1.137800	79.880000	1.174357	79.590000	68.665495	
0.394212	0.001156	0.393055	1.138604	79.920000	1.173330	79.660000	68.668836	
0.390937	0.000976	0.389961	1.138000	79.920000	1.175704	79.750000	68.670823	
0.392287	0.001105	0.391182	1.129883	80.040000	1.175697	79.680000	68.675709	
0.390343	0.001133	0.389210	1.143063	79.900000	1.178121	79.750000	68.678021	
0.389614	0.000993	0.388621	1.147064	79.860000	1.180011	79.640000	68.680832	
0.391079	0.001169	0.389910	1.142685	79.660000	1.178140	79.600000	68.681561	
0.392096	0.001329	0.390767	1.129331	79.820000	1.161392	79.660000	68.685407	
0.389099	0.001047	0.388052	1.136543	79.780000	1.166906	79.640000	68.688175	
0.389593	0.001027	0.388567	1.141968	79.780000	1.177763	79.470000	68.691489	
0.389527	0.001172	0.388355	1.142134	79.820000	1.176682	79.540000	68.695678	
