Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
0.783936	0.625408	0.008091	0.787523	79.940000	0.792717	79.650000	
0.754375	0.601189	0.007790	0.795760	79.980000	0.803108	79.320000	
0.769077	0.613657	0.007874	0.793786	79.740000	0.803848	79.390000	
0.797152	0.634416	0.008214	0.786440	79.960000	0.796888	79.430000	
0.739127	0.589743	0.007512	0.790698	79.840000	0.800026	79.320000	
0.765832	0.608719	0.007872	0.796651	79.460000	0.806084	79.390000	
0.765968	0.609896	0.007791	0.799381	79.640000	0.809644	79.230000	
0.770562	0.611750	0.007899	0.790986	79.840000	0.800362	79.460000	
0.782574	0.622333	0.007941	0.794715	79.680000	0.806046	79.420000	
0.767696	0.609769	0.007798	0.801923	79.620000	0.810304	79.240000	
0.771417	0.614052	0.007743	0.793416	79.800000	0.798879	79.410000	
0.791496	0.625195	0.008153	0.787389	80.140000	0.791143	79.890000	
0.801930	0.636292	0.008091	0.791346	80.320000	0.794518	79.670000	
0.770977	0.609114	0.007879	0.805219	79.780000	0.804634	79.360000	
0.761455	0.603408	0.007666	0.800350	79.740000	0.804579	79.510000	
0.787695	0.625654	0.007832	0.807664	79.900000	0.811631	79.370000	
0.794442	0.625358	0.008143	0.788824	80.380000	0.795701	79.840000	
0.781308	0.618006	0.007837	0.790618	80.120000	0.797324	79.660000	
0.785701	0.618537	0.007994	0.781265	80.420000	0.787476	79.690000	
0.760281	0.601773	0.007554	0.778538	80.540000	0.784486	79.830000	
0.767642	0.605503	0.007700	0.778270	80.440000	0.786097	79.810000	
0.780738	0.614722	0.007857	0.777409	80.280000	0.788098	79.750000	
0.795617	0.627823	0.007913	0.777151	80.580000	0.790213	79.910000	
0.782287	0.615517	0.007838	0.785223	80.640000	0.792912	79.710000	
0.787410	0.616800	0.007991	0.785990	80.260000	0.792841	79.710000	
0.767786	0.604742	0.007611	0.771804	80.700000	0.780822	80.050000	
0.769223	0.606818	0.007555	0.778436	80.400000	0.788954	79.780000	
0.789368	0.618693	0.007913	0.789325	80.100000	0.798192	79.560000	
0.778826	0.610349	0.007784	0.785839	80.140000	0.790510	79.850000	
0.780290	0.610966	0.007797	0.783725	80.240000	0.791101	79.830000	
0.786037	0.615142	0.007843	0.773669	80.520000	0.778928	80.100000	
0.781003	0.612959	0.007686	0.779278	80.360000	0.787052	79.900000	
0.813289	0.635146	0.008121	0.769339	80.440000	0.779962	80.100000	
0.804751	0.629306	0.007971	0.766642	80.400000	0.773281	80.060000	
0.765863	0.599503	0.007534	0.768044	80.280000	0.774776	80.050000	
0.789114	0.616702	0.007782	0.772687	80.300000	0.782868	80.220000	
0.790945	0.619509	0.007712	0.768962	80.500000	0.778107	80.300000	
0.807087	0.628161	0.008023	0.766602	80.500000	0.773380	80.260000	
0.789609	0.617438	0.007695	0.765677	80.720000	0.771726	80.250000	
0.786419	0.612093	0.007766	0.766105	80.440000	0.774683	80.250000	
0.787310	0.614982	0.007652	0.769093	80.160000	0.779563	80.020000	
0.813922	0.631114	0.008091	0.769253	80.380000	0.779861	80.160000	
0.786979	0.612802	0.007683	0.762381	80.420000	0.775302	80.090000	
0.783980	0.612466	0.007542	0.766786	80.300000	0.779769	80.090000	
0.804214	0.624608	0.007872	0.767461	80.380000	0.782454	79.940000	
0.803483	0.624731	0.007810	0.758754	80.700000	0.771111	80.260000	
0.792799	0.615330	0.007729	0.760850	80.740000	0.773635	80.370000	
0.816573	0.633172	0.007962	0.757393	80.860000	0.767906	80.590000	
0.797821	0.619118	0.007733	0.760329	80.820000	0.768340	80.490000	
0.806828	0.622546	0.007950	0.763572	80.780000	0.773715	80.220000	
0.802532	0.622457	0.007744	0.771403	80.680000	0.778968	80.230000	
0.809563	0.626651	0.007841	0.758022	80.820000	0.771105	80.150000	
0.802964	0.621557	0.007752	0.759870	80.740000	0.773534	80.240000	
0.792364	0.614768	0.007566	0.759575	80.820000	0.775120	80.100000	
0.805978	0.622290	0.007801	0.764458	80.680000	0.782331	80.170000	
0.794815	0.616729	0.007540	0.762470	80.700000	0.778979	80.190000	
0.767969	0.594397	0.007325	0.751047	80.740000	0.764916	80.490000	
0.820264	0.630109	0.008001	0.753267	80.960000	0.766306	80.510000	
0.780557	0.606621	0.007296	0.747769	81.100000	0.758708	80.730000	
0.788927	0.609596	0.007499	0.749411	80.960000	0.759105	80.630000	
0.790781	0.608645	0.007593	0.755382	80.940000	0.763653	80.440000	
0.791234	0.612750	0.007418	0.761697	80.660000	0.771233	80.450000	
0.830821	0.638531	0.007968	0.758899	80.720000	0.769095	80.550000	
0.791894	0.609528	0.007534	0.755824	80.640000	0.766372	80.660000	
0.822846	0.632352	0.007846	0.763729	80.600000	0.779987	80.270000	
0.794381	0.611454	0.007512	0.753314	80.900000	0.770831	80.390000	
0.798901	0.613864	0.007575	0.752325	80.820000	0.771111	80.310000	
0.814126	0.624219	0.007751	0.751546	80.860000	0.770729	80.240000	
0.804422	0.617912	0.007590	0.743240	81.320000	0.760613	80.530000	
0.798575	0.612406	0.007554	0.745560	81.200000	0.760971	80.580000	
0.816983	0.625771	0.007736	0.742876	81.200000	0.756149	80.940000	
0.803154	0.614369	0.007615	0.752585	81.240000	0.766271	80.760000	
